Nodes,Edges,Graph Type,MST Weight,Prim Time (s),Kruskal Time (s)
89,2742,tree + 60% edges,130.0,0.009463310241699219,0.013775110244750977
89,2973,tree + 70% edges,148.5,0.00902557373046875,0.01132965087890625
89,3137,tree + 80% edges,137.5,0.01170492172241211,0.017405271530151367
89,3287,tree + 90% edges,156.5,0.008931875228881836,0.02098870277404785
62,1891,complete,623,0.0068089962005615234,0.01313924789428711
62,61,tree,623,0.0047376155853271484,0.004803657531738281
62,394,tree + 10% edges,353.0,0.0029489994049072266,0.001669168472290039
62,672,tree + 20% edges,251.5,0.0031888484954833984,0.0025670528411865234
62,881,tree + 30% edges,145.5,0.0036132335662841797,0.003280162811279297
62,1069,tree + 40% edges,152.0,0.0034477710723876953,0.003492593765258789
62,1231,tree + 50% edges,135.5,0.004091024398803711,0.004760026931762695
62,1339,tree + 60% edges,117.5,0.004882335662841797,0.004744768142700195
62,1434,tree + 70% edges,124.0,0.0037720203399658203,0.004505157470703125
62,1543,tree + 80% edges,142.5,0.004327058792114258,0.0053293704986572266
62,1591,tree + 90% edges,137.5,0.004126310348510742,0.005504131317138672
45,990,complete,473,0.0025501251220703125,0.0047838687896728516
45,44,tree,473,0.001947164535522461,0.0025899410247802734
45,212,tree + 10% edges,277.5,0.0019125938415527344,0.0009801387786865234
45,355,tree + 20% edges,153.0,0.0017743110656738281,0.0013461112976074219
45,458,tree + 30% edges,176.5,0.001842498779296875,0.0016338825225830078
45,563,tree + 40% edges,162.5,0.001979827880859375,0.0024199485778808594
45,625,tree + 50% edges,139.5,0.00185394287109375,0.002268552780151367
45,709,tree + 60% edges,135.0,0.0019674301147460938,0.002412557601928711
45,743,tree + 70% edges,121.0,0.0019254684448242188,0.0029878616333007812
45,788,tree + 80% edges,149.0,0.001991748809814453,0.0024194717407226562
45,819,tree + 90% edges,120.0,0.002008199691772461,0.002700328826904297
16,120,complete,300,0.0004291534423828125,0.0007028579711914062
16,15,tree,300,0.0003485679626464844,0.0004162788391113281
16,36,tree + 10% edges,178.0,0.00027179718017578125,0.00021719932556152344
16,47,tree + 20% edges,196.5,0.00028061866760253906,0.00019621849060058594
16,63,tree + 30% edges,115.0,0.0004825592041015625,0.00025081634521484375
16,72,tree + 40% edges,99.0,0.0002875328063964844,0.00030732154846191406
16,84,tree + 50% edges,85.0,0.00032711029052734375,0.0002894401550292969
16,88,tree + 60% edges,126.0,0.0003116130828857422,0.00032401084899902344
16,93,tree + 70% edges,131.5,0.0003342628479003906,0.0003159046173095703
16,98,tree + 80% edges,102.0,0.00030732154846191406,0.00037217140197753906
16,102,tree + 90% edges,150.0,0.0003185272216796875,0.0004677772521972656
20,190,complete,217,0.0007688999176025391,0.0011897087097167969
